#autor,#Titulo,#Paginas,#ISBN,#Gênero,#Editora,#estaEmprestado,#Pais
Albert Camus,O Estrangeiro,66,2871251,Clássico,Globo Livros,true,Argélia
Julio Verne,Volta ao mundo em 80 dias,650,6022725,Aventura,Record,false,França
Julio Verne,20 mil léguas submarinas,114,9198858,Aventura,Record,false,França
Lima Barreto,Triste Fim de Policarpo Quaresma,654,394319,Clássico,Globo Livros,false,Brasil
Lima Barreto,Clara dos Anjos,145,1093582,Clássico,Globo Livros,false,Brasil
Lima Barreto,Recordações do Escrivão Isaias Caminha,179,8661942,Clássico,Globo Livros,false,Brasil
Machado de Assis,Dom Casmurro,317,6298912,Realismo,Penguim Compania,false,Brasil
Machado de Assis,Memórias Póstumas de Brás Cubas,178,1919175,Realismo,Penguim Compania,false,Brasil
Machado de Assis,Quincas Borba,158,2731836,Realismo,Penguim Compania,false,Brasil
Machado de Assis,O Alienista,243,646454,Realismo,Penguim Compania,false,Brasil
Margareth Atwood,O conto da Aia,376,6616832,Distopia,Record,false,Canadá
Markus Zusak,A Menina que Roubava Livros,603,7625769,Holocausto,Arqueiro,false,Austrália
Mary Shelley,Frankenstein,616,7962961,Clássico,Globo Livros,false,Inglaterra
Matthew Quick,O Lado Bom da Vida,116,2660748,Psicologia,Arqueiro,false,Estados Unidos
Oscar Wilde,O retrato de Dorian Gray,629,7053820,Clássico,Cia das Letras,false,Inglaterra
Paulo Coelho,O Alquimista,645,3740485,Clássico,Globo Livros,false,Brasil
Raquel de Queirz,O Quinze,184,8229366,Clássico,Globo Livros,false,Brasil
Rick Riordan,Percy Jackson e o Ladrão de Raios,598,3242608,Mitologia,Intrinseca,false,Estados Unidos
Rick Riordan,Percy Jackson e o Mar de Monstros,353,2909915,Mitologia,Intrinseca,false,Estados Unidos
Rick Riordan,Percy Jackson e a Maldição do Titã,649,1711676,Mitologia,Intrinseca,false,Estados Unidos
Rick Riordan,Percy Jackson e a Batalha do Labirinto,50,5566030,Mitologia,Intrinseca,false,Estados Unidos
Rick Riordan,Percy Jackson e o Último Olimpiano,321,4628221,Mitologia,Intrinseca,false,Estados Unidos
Rick Riordan,O Herói Perdido,196,9456807,Mitologia,Intrinseca,false,Estados Unidos
Rick Riordan,O Filho de Netuno,395,9137913,Mitologia,Intrinseca,false,Estados Unidos
Rick Riordan,A Marca de Atena,615,757653,Mitologia,Intrinseca,false,Estados Unidos
Rick Riordan,A Casa de Hades,27,956944,Mitologia,Intrinseca,false,Estados Unidos
Rick Riordan,O Sangue do Olimpo,511,2022741,Mitologia,Intrinseca,false,Estados Unidos
Rick Riordan,A Pirâmide Vermelha,101,5407741,Mitologia,Intrinseca,false,Estados Unidos
Rick Riordan,O Trono de Fogo,105,7653935,Mitologia,Intrinseca,false,Estados Unidos
Rick Riordan,A Sombra da Serpente,293,7848499,Mitologia,Intrinseca,false,Estados Unidos
RJ Palacio,O Extraordinario,44,3585169,Jovem Adulto,Globo Livros,false,Estados Unidos
Shakespeare,Romeu e Julieta,425,5502162,Teatro,Cia das Letras,false,Inglaterra
Shakespeare,Hamlet,521,1178665,Teatro,Cia das Letras,false,Inglaterra
Suzanne Collins,Jogos Vorazes,529,6007921,Distopia,Rocco,false,Estados Unidos
Suzanne Collins,Em Chamas,46,6337533,Distopia,Rocco,false,Estados Unidos
Suzanne Collins,A Esperança,675,4834925,Distopia,Rocco,false,Estados Unidos
Veronica Roth,Divergente ,659,1070290,Distopia,Rocco,false,Estados Unidos
Veronica Roth,Insurgente,461,9218677,Distopia,Rocco,false,Estados Unidos
Veronica Roth,Convergente,81,7729738,Distopia,Rocco,false,Estados Unidos
Yuval Noah Harari,Sapiens,263,6492003,Ciência,Cia das Letras,false,Israel
